question_id,img_id,question,answer,false option
00000001,down/circle_blue_004.png,What direction does the circle move in the frame?,down,up|left|right
00000002,down/circle_blue_011.png,What direction does the circle move in the frame?,down,up|left|right
00000003,down/circle_blue_017.png,What direction does the circle move in the frame?,down,up|left|right
00000004,down/circle_blue_023.png,What direction does the circle move in the frame?,down,up|left|right
00000005,down/circle_blue_026.png,What direction does the circle move in the frame?,down,up|left|right
00000006,down/circle_blue_028.png,What direction does the circle move in the frame?,down,up|left|right
00000007,down/circle_blue_033.png,What direction does the circle move in the frame?,down,up|left|right
00000008,down/circle_blue_046.png,What direction does the circle move in the frame?,down,up|left|right
00000009,down/circle_blue_052.png,What direction does the circle move in the frame?,down,up|left|right
00000010,down/circle_blue_057.png,What direction does the circle move in the frame?,down,up|left|right
00000011,down/circle_blue_063.png,What direction does the circle move in the frame?,down,up|left|right
00000012,down/circle_blue_064.png,What direction does the circle move in the frame?,down,up|left|right
00000013,down/circle_blue_069.png,What direction does the circle move in the frame?,down,up|left|right
00000014,down/circle_blue_072.png,What direction does the circle move in the frame?,down,up|left|right
00000015,down/circle_blue_074.png,What direction does the circle move in the frame?,down,up|left|right
00000016,down/circle_blue_077.png,What direction does the circle move in the frame?,down,up|left|right
00000017,down/circle_blue_083.png,What direction does the circle move in the frame?,down,up|left|right
00000018,down/circle_blue_089.png,What direction does the circle move in the frame?,down,up|left|right
00000019,down/circle_blue_090.png,What direction does the circle move in the frame?,down,up|left|right
00000020,down/circle_blue_097.png,What direction does the circle move in the frame?,down,up|left|right
00000021,down/circle_blue_098.png,What direction does the circle move in the frame?,down,up|left|right
00000022,down/circle_blue_099.png,What direction does the circle move in the frame?,down,up|left|right
00000023,down/circle_blue_106.png,What direction does the circle move in the frame?,down,up|left|right
00000024,down/circle_blue_112.png,What direction does the circle move in the frame?,down,up|left|right
00000025,down/circle_blue_124.png,What direction does the circle move in the frame?,down,up|left|right
00000026,down/circle_blue_125.png,What direction does the circle move in the frame?,down,up|left|right
00000027,down/circle_blue_128.png,What direction does the circle move in the frame?,down,up|left|right
00000028,down/circle_blue_129.png,What direction does the circle move in the frame?,down,up|left|right
00000029,down/circle_blue_134.png,What direction does the circle move in the frame?,down,up|left|right
00000030,down/circle_blue_142.png,What direction does the circle move in the frame?,down,up|left|right
00000031,down/circle_brown_007.png,What direction does the circle move in the frame?,down,up|left|right
00000032,down/circle_brown_017.png,What direction does the circle move in the frame?,down,up|left|right
00000033,down/circle_brown_025.png,What direction does the circle move in the frame?,down,up|left|right
00000034,down/circle_brown_036.png,What direction does the circle move in the frame?,down,up|left|right
00000035,down/circle_brown_038.png,What direction does the circle move in the frame?,down,up|left|right
00000036,down/circle_brown_046.png,What direction does the circle move in the frame?,down,up|left|right
00000037,down/circle_brown_049.png,What direction does the circle move in the frame?,down,up|left|right
00000038,down/circle_brown_059.png,What direction does the circle move in the frame?,down,up|left|right
00000039,down/circle_brown_067.png,What direction does the circle move in the frame?,down,up|left|right
00000040,down/circle_brown_073.png,What direction does the circle move in the frame?,down,up|left|right
00000041,down/circle_brown_074.png,What direction does the circle move in the frame?,down,up|left|right
00000042,down/circle_brown_077.png,What direction does the circle move in the frame?,down,up|left|right
00000043,down/circle_brown_078.png,What direction does the circle move in the frame?,down,up|left|right
00000044,down/circle_brown_080.png,What direction does the circle move in the frame?,down,up|left|right
00000045,down/circle_brown_081.png,What direction does the circle move in the frame?,down,up|left|right
00000046,down/circle_brown_083.png,What direction does the circle move in the frame?,down,up|left|right
00000047,down/circle_brown_084.png,What direction does the circle move in the frame?,down,up|left|right
00000048,down/circle_brown_091.png,What direction does the circle move in the frame?,down,up|left|right
00000049,down/circle_brown_092.png,What direction does the circle move in the frame?,down,up|left|right
00000050,down/circle_brown_094.png,What direction does the circle move in the frame?,down,up|left|right
00000051,down/circle_brown_104.png,What direction does the circle move in the frame?,down,up|left|right
00000052,down/circle_brown_107.png,What direction does the circle move in the frame?,down,up|left|right
00000053,down/circle_brown_108.png,What direction does the circle move in the frame?,down,up|left|right
00000054,down/circle_brown_114.png,What direction does the circle move in the frame?,down,up|left|right
00000055,down/circle_brown_116.png,What direction does the circle move in the frame?,down,up|left|right
00000056,down/circle_brown_122.png,What direction does the circle move in the frame?,down,up|left|right
00000057,down/circle_brown_123.png,What direction does the circle move in the frame?,down,up|left|right
00000058,down/circle_brown_128.png,What direction does the circle move in the frame?,down,up|left|right
